Province,District,Year,Child Homicide Cases,Attempted Child Murder Cases,Child Serious Injury Cases,Child Assault Cases,Child Sexual Exploitation Cases,Child Abduction Cases,Child Kidnapping Cases,Child Rape Cases,Child Sexual Offence Cases,Child Trafficking Cases,Child Aggravated Sexual Abuse Cases,Adultery Cases,Child Cruelty Cases,Child Indecent Acts Cases,Child Sexual Harassment Cases,Child Assault & Injury Cases,Child Exposure to Obscene Content Cases,Child Exploitation & Assault Cases,Child Domestic Violence Exposure Cases,Child Protection & Guardianship Cases,Child Media-Related Offence Cases,Child Education Neglect Cases,Child Verbal Abuse Cases,Vulnerability Score
Western,Colombo,2021,0,0,0,0,0,0,5,4,0,0,2,0,2,0,4,4,0,0,0,26,0,0,0,0.099714065
Western,Colombo,2022,0,0,1,0,0,1,4,4,0,0,2,0,3,0,8,5,0,0,0,66,0,0,0,0.15319533
Western,Colombo,2023,1,,1,,1,,1,4,,,3,,1,,5,6,,,,,59,,,0.348059262
Western,Colombo,2024,0,0,0,0,0,0,1,3,0,0,0,0,4,0,3,8,0,0,0,24,0,0,0,0.08565956
Southern,Galle,2020,0,2,1,0,0,0,20,30,0,0,15,1,1,0,37,12,0,0,0,0,0,0,2,0.224026536
Southern,Galle,2021,1,0,2,0,0,1,20,47,0,0,22,9,0,1,41,10,0,0,0,2,0,0,0,0.275234688
Southern,Galle,2022,1,0,4,0,1,1,14,54,0,1,26,9,2,0,21,9,0,0,0,0,0,0,0,0.321847554
Southern,Galle,2023,,,3,,,,14,46,,,26,3,1,,28,24,,,,,1,,,0.549211784
Southern,Galle,2024,0,0,2,0,0,0,13,30,0,0,12,0,0,0,18,6,0,0,0,0,0,0,2,0.16001716
Western,Gampaha,2020,0,0,1,0,0,1,10,34,0,0,8,0,1,0,33,7,0,0,0,0,0,0,0,0.158104261
Western,Gampaha,2021,0,0,0,0,0,0,14,39,0,1,13,0,1,0,35,6,0,0,0,0,0,0,0,0.177488002
Western,Gampaha,2022,1,1,0,0,0,2,13,35,0,0,7,1,2,0,28,6,0,0,0,0,0,0,1,0.224688679
Western,Gampaha,2023,1,,,,2,3,16,37,,,16,,,,40,11,,,,,,,,0.632560163
Western,Gampaha,2024,0,0,0,0,1,0,22,26,0,0,9,0,2,0,44,10,0,0,0,0,0,0,0,0.164146634
Southern,Hambantota,2020,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2021,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2022,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2023,,,,,,,,,,,,,,,,,,,,,,,,
Southern,Hambantota,2024,,,,,,,,,,,,,,,,,,,,,,,,
Northern,Jaffna,2020,0,0,0,0,0,1,7,23,0,0,1,0,0,0,17,10,0,1,0,0,0,0,1,0.137732453
Northern,Jaffna,2021,1,1,0,0,0,0,13,25,0,0,0,1,0,0,12,22,0,1,0,1,0,0,0,0.162108866
Northern,Jaffna,2022,0,0,0,1,1,1,14,29,0,0,6,0,3,0,17,23,2,2,1,2,0,0,2,0.310646339
Northern,Jaffna,2023,1,,1,,1,,6,36,,,6,,2,,23,22,,,,,2,,,0.451347596
Northern,Jaffna,2024,0,1,0,0,0,0,18,13,0,0,1,0,1,0,7,12,0,4,0,3,0,0,1,0.175054162
Western,Kalutara,2020,1,1,1,0,3,0,19,58,0,0,17,1,4,0,36,6,0,0,0,0,0,0,0,0.257342718
Western,Kalutara,2021,1,0,0,0,0,4,22,64,0,0,27,2,2,0,24,10,0,0,0,9,0,0,0,0.263892561
Western,Kalutara,2022,0,0,0,0,0,2,22,56,0,0,9,0,2,0,33,3,0,0,0,0,0,0,0,0.167348763
Western,Kalutara,2023,1,,,,,2,24,49,,,24,,3,,47,5,,,,,,,,0.599172868
Western,Kalutara,2024,0,0,0,0,0,0,8,50,0,0,8,0,3,0,28,3,0,0,0,0,0,0,0,0.127829241
Central,Kandy,2020,1,0,4,0,1,2,18,57,0,0,17,4,1,0,29,17,1,0,0,0,0,0,1,0.32442462
Central,Kandy,2021,0,0,2,0,1,1,24,37,0,0,10,5,1,0,39,13,0,0,0,0,0,0,0,0.237717575
Central,Kandy,2022,0,0,2,0,1,0,18,36,0,0,17,1,2,0,44,24,1,4,0,1,0,0,0,0.281874447
Central,Kandy,2023,,,3,,1,2,17,41,,,24,1,4,,51,31,2,2,,,1,,,0.601486839
Central,Kandy,2024,0,0,1,0,0,1,14,23,0,0,6,1,1,0,24,11,0,0,0,0,0,0,1,0.185553962
Sabaragamuwa,Kegalle,2020,0,0,2,0,0,1,19,37,0,0,10,1,4,0,37,8,1,1,0,1,0,0,1,0.269983294
Sabaragamuwa,Kegalle,2021,0,0,1,0,2,0,18,28,0,0,8,3,3,0,35,14,0,0,0,0,0,0,0,0.216979293
Sabaragamuwa,Kegalle,2022,0,0,1,0,0,3,13,32,0,0,12,0,0,0,76,22,0,0,1,0,0,0,1,0.225631244
Sabaragamuwa,Kegalle,2023,,,3,,,1,8,26,,,15,,3,,99,15,,,,,,2,,0.63421207
Sabaragamuwa,Kegalle,2024,0,0,2,0,0,1,7,29,0,0,9,0,3,0,57,18,0,0,0,0,0,0,0,0.189514696
Northern,Kilinochchi,2020,0,0,0,0,1,1,6,16,0,0,2,0,2,0,10,18,0,0,0,0,0,0,0,0.142596265
Northern,Kilinochchi,2021,3,0,0,0,0,1,7,27,0,0,3,0,3,0,7,10,0,0,0,0,0,0,0,0.164923536
Northern,Kilinochchi,2022,0,1,0,0,0,0,7,19,0,0,2,0,0,0,6,18,0,0,0,0,0,0,0,0.102809723
Northern,Kilinochchi,2023,1,,1,,,,6,17,,,1,,1,,7,153,,,,,,,,0.428090732
Northern,Kilinochchi,2024,0,0,0,0,0,0,7,9,0,0,1,0,1,0,5,10,0,0,0,0,0,0,0,0.077018273
North Western,Kurunegala,2020,2,0,1,0,0,1,34,67,0,0,39,0,2,0,55,27,0,0,0,3,0,0,4,0.302894047
North Western,Kurunegala,2021,0,1,2,0,0,0,38,71,0,1,11,4,4,0,58,17,1,1,0,1,0,0,0,0.339511223
North Western,Kurunegala,2022,0,3,2,0,1,2,24,60,0,0,13,1,2,0,38,22,1,0,0,0,0,0,0,0.308974239
North Western,Kurunegala,2023,,1,2,,,,29,77,,,38,1,3,,56,19,1,,,,,,,0.611897366
North Western,Kurunegala,2024,1,0,0,0,0,1,15,36,0,0,18,0,1,0,44,10,0,0,0,0,0,0,0,0.182545091
Northern,Mannar,2020,0,0,0,0,0,0,1,6,0,0,3,0,0,0,9,9,0,0,0,0,0,0,0,0.059845802
Northern,Mannar,2021,0,0,0,0,0,0,2,13,0,0,5,0,1,0,8,10,0,0,0,1,0,0,0,0.09316256
Northern,Mannar,2022,0,0,0,0,0,1,6,19,0,0,4,0,0,1,9,6,0,0,0,2,0,0,0,0.133988481
Northern,Mannar,2023,,,1,,,,5,7,,,1,1,,,,6,,,,,1,,,0.266034585
Northern,Mannar,2024,1,0,0,0,0,0,7,9,0,0,0,0,3,0,2,5,0,0,0,0,0,0,0,0.083758941
Central,Matale,2020,1,0,2,0,0,0,21,46,0,0,16,0,3,0,54,28,0,0,0,1,0,0,3,0.255692481
Central,Matale,2021,1,1,4,0,0,0,18,42,0,0,26,0,2,0,37,21,0,0,0,0,0,0,0,0.231945977
Central,Matale,2022,1,1,8,0,0,0,9,45,0,0,16,0,0,0,27,21,1,0,0,0,0,0,0,0.239506386
Central,Matale,2023,,,2,,,2,11,38,,,20,3,2,1,44,47,1,,,,1,,,0.575782369
Central,Matale,2024,0,0,0,0,0,0,12,29,0,0,7,1,1,1,27,8,0,0,0,0,0,0,0,0.158069963
Southern,Matara,2020,1,0,0,2,1,0,36,57,0,0,19,1,2,0,38,17,1,0,0,1,0,0,2,0.303900344
Southern,Matara,2021,1,1,0,0,2,2,23,72,0,0,17,3,3,0,42,11,0,0,5,1,0,0,0,0.331671939
Southern,Matara,2022,2,1,6,1,0,2,30,68,1,0,27,3,1,0,52,21,0,0,0,4,0,0,5,0.408979659
Southern,Matara,2023,2,,5,,2,3,26,80,2,,28,1,6,,80,47,,,,,13,,,0.732841155
Southern,Matara,2024,0,0,7,0,0,4,20,37,0,0,13,2,2,0,42,21,0,0,0,6,0,0,1,0.300590168
Uva,Moneragala,2020,0,0,3,1,0,0,27,53,0,1,21,6,1,0,28,23,0,0,0,9,0,0,0,0.305049179
Uva,Moneragala,2021,0,0,0,0,0,1,22,28,0,0,16,1,5,0,28,8,0,0,0,41,0,0,2,0.251197909
Uva,Moneragala,2022,0,0,1,1,1,0,20,46,0,1,11,10,2,0,18,8,0,0,0,8,0,0,0,0.29589862
Uva,Moneragala,2023,,,1,,4,,17,51,,,17,6,,,23,16,,,,,15,,,0.659967935
Uva,Moneragala,2024,0,0,1,0,0,1,10,31,0,0,12,4,1,1,24,9,0,0,0,30,0,0,0,0.246375615
Northern,Mullaitivu,2020,0,0,1,0,0,3,5,14,0,0,9,0,1,0,11,7,0,0,0,0,0,0,1,0.16706492
Northern,Mullaitivu,2021,1,0,0,0,0,0,4,29,0,0,4,0,0,0,10,10,0,0,3,0,0,0,0,0.136912133
Northern,Mullaitivu,2022,0,0,0,0,0,0,3,22,0,0,6,0,1,0,13,11,0,0,0,0,0,0,1,0.118902736
Northern,Mullaitivu,2023,,,1,,,,10,35,,,9,,4,,11,8,,,,,,,,0.472372338
Northern,Mullaitivu,2024,1,0,0,0,0,0,0,16,0,0,2,1,2,0,6,3,0,0,0,1,0,0,0,0.09862928
Central,Nuwara Eliya,2020,1,1,0,0,0,1,5,25,0,0,11,1,2,0,23,6,0,0,0,0,0,0,0,0.1863351
Central,Nuwara Eliya,2021,3,0,3,0,0,0,8,17,0,0,6,2,0,0,25,7,0,0,0,0,0,0,0,0.185068308
Central,Nuwara Eliya,2022,1,0,0,0,0,1,8,23,0,0,6,0,2,0,10,3,0,0,0,2,0,0,1,0.167163066
Central,Nuwara Eliya,2023,1,1,2,,,1,7,23,,,9,3,2,,29,6,,1,,,6,,,0.456647366
Central,Nuwara Eliya,2024,1,0,2,0,0,0,6,20,0,0,5,0,3,0,17,10,0,0,0,7,0,0,0,0.180184645
North Central,Polonnaruwa,2020,1,1,0,0,0,2,33,49,0,0,28,0,1,0,52,17,1,0,0,2,0,0,1,0.289315953
North Central,Polonnaruwa,2021,1,0,1,0,0,0,35,62,0,0,22,2,1,0,41,11,0,0,0,2,0,0,0,0.225194914
North Central,Polonnaruwa,2022,1,5,2,0,0,0,16,40,0,0,19,1,2,0,55,15,0,0,0,5,0,0,0,0.275663655
North Central,Polonnaruwa,2023,,,2,,,2,25,66,,,16,1,2,,75,29,1,,,,9,,,0.61802559
North Central,Polonnaruwa,2024,1,0,1,0,0,0,12,48,0,0,8,0,2,0,27,22,0,0,0,0,0,0,0,0.17983088
North Western,Puttalam,2020,1,0,0,0,0,0,27,44,0,0,19,0,0,1,40,17,0,0,0,7,0,0,0,0.209751436
North Western,Puttalam,2021,0,1,0,0,1,0,24,52,0,0,7,0,2,0,42,18,0,0,0,0,0,0,0,0.192443592
North Western,Puttalam,2022,0,0,0,0,0,2,16,44,0,0,14,0,3,0,37,10,0,0,0,15,0,0,0,0.212289942
North Western,Puttalam,2023,,1,4,,,,13,52,,,16,4,3,,37,9,,,,,12,,,0.595138228
North Western,Puttalam,2024,1,0,1,0,0,0,14,37,0,0,12,1,3,0,35,13,0,0,0,15,0,0,0,0.225294673
Sabaragamuwa,Ratnapura,2020,3,1,3,0,0,2,38,63,0,0,42,4,5,0,74,8,0,0,0,0,0,0,1,0.34666997
Sabaragamuwa,Ratnapura,2021,0,0,0,0,0,2,42,74,0,0,46,2,3,0,72,11,0,0,0,0,0,0,0,0.239358536
Sabaragamuwa,Ratnapura,2022,1,0,0,0,1,2,37,85,0,0,33,6,1,0,17,11,0,0,0,3,0,0,0,0.275875656
Sabaragamuwa,Ratnapura,2023,,,1,,3,3,28,62,,,31,3,1,0,48,11,,,,,17,,,0.591900245
Sabaragamuwa,Ratnapura,2024,0,0,1,0,1,2,15,39,0,0,34,0,1,0,29,14,0,0,0,18,0,0,1,0.260399364
Eastern,Trincomalee,2020,0,0,0,0,0,0,13,13,3,0,2,1,3,0,10,3,0,0,0,1,0,0,0,0.159717363
Eastern,Trincomalee,2021,1,0,0,0,0,0,16,24,0,0,7,1,2,1,18,6,0,0,0,0,0,0,0,0.176421122
Eastern,Trincomalee,2022,0,0,2,0,0,1,8,24,1,0,4,0,2,0,15,5,0,0,0,4,0,0,0,0.186648887
Eastern,Trincomalee,2023,,,2,,,1,13,34,,,5,,3,,17,8,,,,,1,,,0.450716887
Eastern,Trincomalee,2024,0,0,0,0,0,0,10,29,0,0,8,0,3,3,15,7,2,0,0,3,0,0,1,0.243824367
Northern,Vavuniya,2020,0,0,0,0,0,0,6,29,0,0,2,0,1,0,12,14,0,0,0,0,0,0,0,0.103917926
Northern,Vavuniya,2021,0,0,0,0,0,1,5,15,0,0,1,1,2,0,8,6,0,0,0,1,0,0,0,0.122866992
Northern,Vavuniya,2022,1,0,1,0,1,0,11,14,0,0,1,0,1,0,9,11,0,0,0,0,0,0,0,0.14385512
Northern,Vavuniya,2023,,,,7,,,,18,,,6,,5,,13,4,,,,,3,,,0.492155359
Northern,Vavuniya,2024,0,0,0,0,0,0,8,14,0,0,7,0,8,0,15,11,0,0,0,0,0,0,0,0.132516278
